18:15:47 | probe[finetune_10pct/resnet50] | INFO | Loaded backbone weights — missing: 0, unexpected: 0
18:15:53 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 001/30 | train_loss 1.6886 train_acc 0.4474 | val_loss 0.7734 val_acc 0.8628
18:15:57 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 002/30 | train_loss 0.2489 train_acc 0.9454 | val_loss 0.1877 val_acc 0.9388
18:16:00 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 003/30 | train_loss 0.1179 train_acc 0.9602 | val_loss 0.1245 val_acc 0.9593
18:16:04 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 004/30 | train_loss 0.0890 train_acc 0.9691 | val_loss 0.1158 val_acc 0.9625
18:16:07 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 005/30 | train_loss 0.0720 train_acc 0.9772 | val_loss 0.1242 val_acc 0.9644
18:16:11 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 006/30 | train_loss 0.0571 train_acc 0.9806 | val_loss 0.0841 val_acc 0.9739
18:16:14 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 007/30 | train_loss 0.0520 train_acc 0.9822 | val_loss 0.0792 val_acc 0.9767
18:16:18 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 008/30 | train_loss 0.0437 train_acc 0.9856 | val_loss 0.0873 val_acc 0.9733
18:16:21 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 009/30 | train_loss 0.0447 train_acc 0.9854 | val_loss 0.1029 val_acc 0.9705
18:16:24 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 010/30 | train_loss 0.0376 train_acc 0.9879 | val_loss 0.0898 val_acc 0.9713
18:16:28 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 011/30 | train_loss 0.0294 train_acc 0.9901 | val_loss 0.0840 val_acc 0.9739
18:16:31 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 012/30 | train_loss 0.0311 train_acc 0.9898 | val_loss 0.0941 val_acc 0.9708
18:16:34 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 013/30 | train_loss 0.0314 train_acc 0.9890 | val_loss 0.0869 val_acc 0.9760
18:16:37 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 014/30 | train_loss 0.0228 train_acc 0.9926 | val_loss 0.0787 val_acc 0.9767
18:16:40 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 015/30 | train_loss 0.0149 train_acc 0.9961 | val_loss 0.0653 val_acc 0.9808
18:16:44 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 016/30 | train_loss 0.0121 train_acc 0.9958 | val_loss 0.0692 val_acc 0.9803
18:16:47 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 017/30 | train_loss 0.0123 train_acc 0.9962 | val_loss 0.0743 val_acc 0.9774
18:16:50 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 018/30 | train_loss 0.0090 train_acc 0.9973 | val_loss 0.0702 val_acc 0.9794
18:16:54 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 019/30 | train_loss 0.0085 train_acc 0.9976 | val_loss 0.0711 val_acc 0.9815
18:16:57 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 020/30 | train_loss 0.0070 train_acc 0.9974 | val_loss 0.0702 val_acc 0.9804
18:17:00 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 021/30 | train_loss 0.0068 train_acc 0.9984 | val_loss 0.0656 val_acc 0.9817
18:17:04 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 022/30 | train_loss 0.0066 train_acc 0.9982 | val_loss 0.0716 val_acc 0.9801
18:17:07 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 023/30 | train_loss 0.0050 train_acc 0.9988 | val_loss 0.0663 val_acc 0.9817
18:17:10 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 024/30 | train_loss 0.0056 train_acc 0.9983 | val_loss 0.0695 val_acc 0.9815
18:17:14 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 025/30 | train_loss 0.0050 train_acc 0.9982 | val_loss 0.0689 val_acc 0.9820
18:17:17 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 026/30 | train_loss 0.0048 train_acc 0.9984 | val_loss 0.0696 val_acc 0.9819
18:17:21 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 027/30 | train_loss 0.0035 train_acc 0.9992 | val_loss 0.0685 val_acc 0.9825
18:17:24 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 028/30 | train_loss 0.0038 train_acc 0.9992 | val_loss 0.0694 val_acc 0.9824
18:17:27 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 029/30 | train_loss 0.0047 train_acc 0.9986 | val_loss 0.0695 val_acc 0.9822
18:17:31 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 030/30 | train_loss 0.0035 train_acc 0.9992 | val_loss 0.0685 val_acc 0.9825
18:17:31 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] done in 00:01:43 | best val_acc 0.9825
