18:11:12 | probe[linear/resnet50] | INFO | Loaded backbone weights — missing: 0, unexpected: 0
18:11:23 | probe[linear/resnet50] | INFO | [linear] epoch 001/30 | train_loss 0.6464 train_acc 0.8217 | val_loss 0.1181 val_acc 0.9687
18:11:32 | probe[linear/resnet50] | INFO | [linear] epoch 002/30 | train_loss 0.0983 train_acc 0.9697 | val_loss 0.0917 val_acc 0.9748
18:11:41 | probe[linear/resnet50] | INFO | [linear] epoch 003/30 | train_loss 0.0859 train_acc 0.9726 | val_loss 0.0888 val_acc 0.9733
18:11:50 | probe[linear/resnet50] | INFO | [linear] epoch 004/30 | train_loss 0.0798 train_acc 0.9741 | val_loss 0.0782 val_acc 0.9780
18:11:59 | probe[linear/resnet50] | INFO | [linear] epoch 005/30 | train_loss 0.0742 train_acc 0.9758 | val_loss 0.0801 val_acc 0.9756
18:12:08 | probe[linear/resnet50] | INFO | [linear] epoch 006/30 | train_loss 0.0721 train_acc 0.9764 | val_loss 0.0782 val_acc 0.9772
18:12:17 | probe[linear/resnet50] | INFO | [linear] epoch 007/30 | train_loss 0.0680 train_acc 0.9778 | val_loss 0.0760 val_acc 0.9777
18:12:26 | probe[linear/resnet50] | INFO | [linear] epoch 008/30 | train_loss 0.0665 train_acc 0.9781 | val_loss 0.0700 val_acc 0.9790
18:12:35 | probe[linear/resnet50] | INFO | [linear] epoch 009/30 | train_loss 0.0651 train_acc 0.9781 | val_loss 0.0747 val_acc 0.9779
18:12:44 | probe[linear/resnet50] | INFO | [linear] epoch 010/30 | train_loss 0.0630 train_acc 0.9790 | val_loss 0.0765 val_acc 0.9772
18:12:53 | probe[linear/resnet50] | INFO | [linear] epoch 011/30 | train_loss 0.0618 train_acc 0.9793 | val_loss 0.0771 val_acc 0.9764
18:13:02 | probe[linear/resnet50] | INFO | [linear] epoch 012/30 | train_loss 0.0604 train_acc 0.9801 | val_loss 0.0775 val_acc 0.9772
18:13:11 | probe[linear/resnet50] | INFO | [linear] epoch 013/30 | train_loss 0.0594 train_acc 0.9802 | val_loss 0.0673 val_acc 0.9806
18:13:20 | probe[linear/resnet50] | INFO | [linear] epoch 014/30 | train_loss 0.0585 train_acc 0.9806 | val_loss 0.0688 val_acc 0.9792
18:13:29 | probe[linear/resnet50] | INFO | [linear] epoch 015/30 | train_loss 0.0577 train_acc 0.9809 | val_loss 0.0667 val_acc 0.9801
18:13:38 | probe[linear/resnet50] | INFO | [linear] epoch 016/30 | train_loss 0.0569 train_acc 0.9809 | val_loss 0.0695 val_acc 0.9790
18:13:47 | probe[linear/resnet50] | INFO | [linear] epoch 017/30 | train_loss 0.0554 train_acc 0.9816 | val_loss 0.0665 val_acc 0.9803
18:13:56 | probe[linear/resnet50] | INFO | [linear] epoch 018/30 | train_loss 0.0546 train_acc 0.9815 | val_loss 0.0674 val_acc 0.9789
18:14:05 | probe[linear/resnet50] | INFO | [linear] epoch 019/30 | train_loss 0.0541 train_acc 0.9817 | val_loss 0.0675 val_acc 0.9796
18:14:14 | probe[linear/resnet50] | INFO | [linear] epoch 020/30 | train_loss 0.0534 train_acc 0.9820 | val_loss 0.0674 val_acc 0.9788
18:14:24 | probe[linear/resnet50] | INFO | [linear] epoch 021/30 | train_loss 0.0527 train_acc 0.9823 | val_loss 0.0642 val_acc 0.9808
18:14:33 | probe[linear/resnet50] | INFO | [linear] epoch 022/30 | train_loss 0.0526 train_acc 0.9821 | val_loss 0.0635 val_acc 0.9809
18:14:43 | probe[linear/resnet50] | INFO | [linear] epoch 023/30 | train_loss 0.0521 train_acc 0.9824 | val_loss 0.0625 val_acc 0.9816
18:14:52 | probe[linear/resnet50] | INFO | [linear] epoch 024/30 | train_loss 0.0514 train_acc 0.9826 | val_loss 0.0636 val_acc 0.9811
18:15:01 | probe[linear/resnet50] | INFO | [linear] epoch 025/30 | train_loss 0.0505 train_acc 0.9829 | val_loss 0.0645 val_acc 0.9812
18:15:10 | probe[linear/resnet50] | INFO | [linear] epoch 026/30 | train_loss 0.0512 train_acc 0.9829 | val_loss 0.0650 val_acc 0.9805
18:15:19 | probe[linear/resnet50] | INFO | [linear] epoch 027/30 | train_loss 0.0504 train_acc 0.9825 | val_loss 0.0634 val_acc 0.9812
18:15:27 | probe[linear/resnet50] | INFO | [linear] epoch 028/30 | train_loss 0.0505 train_acc 0.9826 | val_loss 0.0643 val_acc 0.9806
18:15:37 | probe[linear/resnet50] | INFO | [linear] epoch 029/30 | train_loss 0.0504 train_acc 0.9829 | val_loss 0.0640 val_acc 0.9809
18:15:46 | probe[linear/resnet50] | INFO | [linear] epoch 030/30 | train_loss 0.0500 train_acc 0.9829 | val_loss 0.0637 val_acc 0.9812
18:15:46 | probe[linear/resnet50] | INFO | [linear] done in 00:04:33 | best val_acc 0.9816
