02:56:22 | probe[finetune_10pct/vit_small] | INFO | Loaded backbone weights — missing: 0, unexpected: 0
02:56:29 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 001/30 | train_loss 1.6836 train_acc 0.3994 | val_loss 0.8328 val_acc 0.6918
02:56:36 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 002/30 | train_loss 0.6410 train_acc 0.7730 | val_loss 0.5169 val_acc 0.8228
02:56:43 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 003/30 | train_loss 0.4921 train_acc 0.8238 | val_loss 0.4700 val_acc 0.8382
02:56:50 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 004/30 | train_loss 0.4386 train_acc 0.8432 | val_loss 0.3779 val_acc 0.8667
02:56:57 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 005/30 | train_loss 0.3910 train_acc 0.8596 | val_loss 0.4182 val_acc 0.8579
02:57:04 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 006/30 | train_loss 0.3691 train_acc 0.8659 | val_loss 0.3403 val_acc 0.8772
02:57:11 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 007/30 | train_loss 0.3393 train_acc 0.8778 | val_loss 0.3014 val_acc 0.8905
02:57:18 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 008/30 | train_loss 0.3111 train_acc 0.8894 | val_loss 0.2810 val_acc 0.9039
02:57:25 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 009/30 | train_loss 0.3008 train_acc 0.8939 | val_loss 0.2909 val_acc 0.8957
02:57:32 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 010/30 | train_loss 0.3019 train_acc 0.8934 | val_loss 0.3232 val_acc 0.8853
02:57:39 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 011/30 | train_loss 0.2908 train_acc 0.8956 | val_loss 0.3126 val_acc 0.8879
02:57:46 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 012/30 | train_loss 0.2599 train_acc 0.9080 | val_loss 0.2316 val_acc 0.9200
02:57:53 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 013/30 | train_loss 0.2464 train_acc 0.9121 | val_loss 0.2492 val_acc 0.9095
02:57:59 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 014/30 | train_loss 0.2373 train_acc 0.9173 | val_loss 0.2358 val_acc 0.9166
02:58:06 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 015/30 | train_loss 0.2367 train_acc 0.9189 | val_loss 0.2164 val_acc 0.9224
02:58:13 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 016/30 | train_loss 0.2146 train_acc 0.9246 | val_loss 0.2326 val_acc 0.9175
02:58:20 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 017/30 | train_loss 0.2082 train_acc 0.9272 | val_loss 0.2006 val_acc 0.9309
02:58:26 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 018/30 | train_loss 0.2010 train_acc 0.9293 | val_loss 0.2017 val_acc 0.9291
02:58:33 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 019/30 | train_loss 0.1860 train_acc 0.9352 | val_loss 0.1932 val_acc 0.9325
02:58:40 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 020/30 | train_loss 0.1768 train_acc 0.9370 | val_loss 0.1845 val_acc 0.9329
02:58:46 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 021/30 | train_loss 0.1644 train_acc 0.9427 | val_loss 0.1893 val_acc 0.9341
02:58:53 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 022/30 | train_loss 0.1643 train_acc 0.9419 | val_loss 0.1718 val_acc 0.9426
02:59:00 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 023/30 | train_loss 0.1568 train_acc 0.9444 | val_loss 0.1740 val_acc 0.9416
02:59:06 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 024/30 | train_loss 0.1528 train_acc 0.9459 | val_loss 0.1603 val_acc 0.9453
02:59:13 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 025/30 | train_loss 0.1446 train_acc 0.9494 | val_loss 0.1614 val_acc 0.9455
02:59:20 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 026/30 | train_loss 0.1398 train_acc 0.9522 | val_loss 0.1636 val_acc 0.9439
02:59:26 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 027/30 | train_loss 0.1314 train_acc 0.9550 | val_loss 0.1555 val_acc 0.9483
02:59:33 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 028/30 | train_loss 0.1410 train_acc 0.9522 | val_loss 0.1575 val_acc 0.9474
02:59:40 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 029/30 | train_loss 0.1298 train_acc 0.9550 | val_loss 0.1567 val_acc 0.9467
02:59:46 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 030/30 | train_loss 0.1256 train_acc 0.9562 | val_loss 0.1560 val_acc 0.9479
02:59:46 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] done in 00:03:24 | best val_acc 0.9483
