22:19:05 | probe[finetune_10pct/vit_small] | INFO | Loaded backbone weights — missing: 0, unexpected: 0
22:19:09 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 001/30 | train_loss 1.8262 train_acc 0.3966 | val_loss 0.8115 val_acc 0.8548
22:19:12 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 002/30 | train_loss 0.3331 train_acc 0.9228 | val_loss 0.1546 val_acc 0.9514
22:19:16 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 003/30 | train_loss 0.1216 train_acc 0.9628 | val_loss 0.1080 val_acc 0.9641
22:19:19 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 004/30 | train_loss 0.0916 train_acc 0.9701 | val_loss 0.1137 val_acc 0.9619
22:19:22 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 005/30 | train_loss 0.0777 train_acc 0.9734 | val_loss 0.0904 val_acc 0.9736
22:19:25 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 006/30 | train_loss 0.0646 train_acc 0.9799 | val_loss 0.0720 val_acc 0.9777
22:19:28 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 007/30 | train_loss 0.0493 train_acc 0.9850 | val_loss 0.0653 val_acc 0.9800
22:19:32 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 008/30 | train_loss 0.0456 train_acc 0.9851 | val_loss 0.0707 val_acc 0.9786
22:19:35 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 009/30 | train_loss 0.0411 train_acc 0.9878 | val_loss 0.0699 val_acc 0.9777
22:19:38 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 010/30 | train_loss 0.0390 train_acc 0.9869 | val_loss 0.0807 val_acc 0.9756
22:19:41 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 011/30 | train_loss 0.0318 train_acc 0.9901 | val_loss 0.0673 val_acc 0.9801
22:19:44 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 012/30 | train_loss 0.0271 train_acc 0.9912 | val_loss 0.0671 val_acc 0.9802
22:19:48 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 013/30 | train_loss 0.0260 train_acc 0.9923 | val_loss 0.0699 val_acc 0.9791
22:19:51 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 014/30 | train_loss 0.0220 train_acc 0.9932 | val_loss 0.0615 val_acc 0.9824
22:19:54 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 015/30 | train_loss 0.0203 train_acc 0.9936 | val_loss 0.0735 val_acc 0.9797
22:19:57 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 016/30 | train_loss 0.0191 train_acc 0.9941 | val_loss 0.0617 val_acc 0.9812
22:20:00 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 017/30 | train_loss 0.0184 train_acc 0.9939 | val_loss 0.0605 val_acc 0.9826
22:20:04 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 018/30 | train_loss 0.0146 train_acc 0.9958 | val_loss 0.0684 val_acc 0.9803
22:20:07 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 019/30 | train_loss 0.0104 train_acc 0.9972 | val_loss 0.0655 val_acc 0.9813
22:20:10 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 020/30 | train_loss 0.0104 train_acc 0.9970 | val_loss 0.0624 val_acc 0.9835
22:20:13 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 021/30 | train_loss 0.0087 train_acc 0.9977 | val_loss 0.0663 val_acc 0.9816
22:20:16 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 022/30 | train_loss 0.0076 train_acc 0.9977 | val_loss 0.0582 val_acc 0.9840
22:20:19 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 023/30 | train_loss 0.0085 train_acc 0.9979 | val_loss 0.0585 val_acc 0.9850
22:20:22 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 024/30 | train_loss 0.0061 train_acc 0.9989 | val_loss 0.0567 val_acc 0.9848
22:20:25 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 025/30 | train_loss 0.0050 train_acc 0.9991 | val_loss 0.0604 val_acc 0.9838
22:20:28 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 026/30 | train_loss 0.0062 train_acc 0.9979 | val_loss 0.0600 val_acc 0.9834
22:20:31 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 027/30 | train_loss 0.0052 train_acc 0.9991 | val_loss 0.0590 val_acc 0.9837
22:20:34 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 028/30 | train_loss 0.0063 train_acc 0.9980 | val_loss 0.0573 val_acc 0.9842
22:20:37 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 029/30 | train_loss 0.0051 train_acc 0.9990 | val_loss 0.0570 val_acc 0.9844
22:20:40 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 030/30 | train_loss 0.0054 train_acc 0.9988 | val_loss 0.0572 val_acc 0.9844
22:20:40 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] done in 00:01:34 | best val_acc 0.9850
