17:07:21 | probe[linear/resnet50] | INFO | Loaded backbone weights — missing: 0, unexpected: 0
17:07:32 | probe[linear/resnet50] | INFO | [linear] epoch 001/30 | train_loss 0.8796 train_acc 0.7729 | val_loss 0.1926 val_acc 0.9507
17:07:41 | probe[linear/resnet50] | INFO | [linear] epoch 002/30 | train_loss 0.1548 train_acc 0.9539 | val_loss 0.1385 val_acc 0.9590
17:07:49 | probe[linear/resnet50] | INFO | [linear] epoch 003/30 | train_loss 0.1286 train_acc 0.9595 | val_loss 0.1324 val_acc 0.9569
17:07:58 | probe[linear/resnet50] | INFO | [linear] epoch 004/30 | train_loss 0.1167 train_acc 0.9627 | val_loss 0.1172 val_acc 0.9621
17:08:07 | probe[linear/resnet50] | INFO | [linear] epoch 005/30 | train_loss 0.1095 train_acc 0.9643 | val_loss 0.1143 val_acc 0.9625
17:08:16 | probe[linear/resnet50] | INFO | [linear] epoch 006/30 | train_loss 0.1048 train_acc 0.9661 | val_loss 0.1143 val_acc 0.9653
17:08:25 | probe[linear/resnet50] | INFO | [linear] epoch 007/30 | train_loss 0.0990 train_acc 0.9678 | val_loss 0.1108 val_acc 0.9660
17:08:34 | probe[linear/resnet50] | INFO | [linear] epoch 008/30 | train_loss 0.0967 train_acc 0.9685 | val_loss 0.1108 val_acc 0.9627
17:08:43 | probe[linear/resnet50] | INFO | [linear] epoch 009/30 | train_loss 0.0931 train_acc 0.9694 | val_loss 0.1034 val_acc 0.9673
17:08:51 | probe[linear/resnet50] | INFO | [linear] epoch 010/30 | train_loss 0.0911 train_acc 0.9703 | val_loss 0.1032 val_acc 0.9684
17:09:00 | probe[linear/resnet50] | INFO | [linear] epoch 011/30 | train_loss 0.0879 train_acc 0.9713 | val_loss 0.1039 val_acc 0.9675
17:09:09 | probe[linear/resnet50] | INFO | [linear] epoch 012/30 | train_loss 0.0869 train_acc 0.9716 | val_loss 0.1010 val_acc 0.9687
17:09:18 | probe[linear/resnet50] | INFO | [linear] epoch 013/30 | train_loss 0.0857 train_acc 0.9720 | val_loss 0.0960 val_acc 0.9696
17:09:26 | probe[linear/resnet50] | INFO | [linear] epoch 014/30 | train_loss 0.0836 train_acc 0.9728 | val_loss 0.0953 val_acc 0.9699
17:09:35 | probe[linear/resnet50] | INFO | [linear] epoch 015/30 | train_loss 0.0829 train_acc 0.9724 | val_loss 0.0936 val_acc 0.9694
17:09:43 | probe[linear/resnet50] | INFO | [linear] epoch 016/30 | train_loss 0.0818 train_acc 0.9732 | val_loss 0.0981 val_acc 0.9695
17:09:52 | probe[linear/resnet50] | INFO | [linear] epoch 017/30 | train_loss 0.0810 train_acc 0.9733 | val_loss 0.0939 val_acc 0.9692
17:10:00 | probe[linear/resnet50] | INFO | [linear] epoch 018/30 | train_loss 0.0790 train_acc 0.9739 | val_loss 0.0927 val_acc 0.9703
17:10:09 | probe[linear/resnet50] | INFO | [linear] epoch 019/30 | train_loss 0.0789 train_acc 0.9735 | val_loss 0.0953 val_acc 0.9700
17:10:19 | probe[linear/resnet50] | INFO | [linear] epoch 020/30 | train_loss 0.0768 train_acc 0.9749 | val_loss 0.0923 val_acc 0.9701
17:10:29 | probe[linear/resnet50] | INFO | [linear] epoch 021/30 | train_loss 0.0762 train_acc 0.9754 | val_loss 0.0913 val_acc 0.9709
17:10:38 | probe[linear/resnet50] | INFO | [linear] epoch 022/30 | train_loss 0.0756 train_acc 0.9754 | val_loss 0.0901 val_acc 0.9699
17:10:46 | probe[linear/resnet50] | INFO | [linear] epoch 023/30 | train_loss 0.0759 train_acc 0.9746 | val_loss 0.0899 val_acc 0.9712
17:10:55 | probe[linear/resnet50] | INFO | [linear] epoch 024/30 | train_loss 0.0747 train_acc 0.9754 | val_loss 0.0894 val_acc 0.9723
17:11:04 | probe[linear/resnet50] | INFO | [linear] epoch 025/30 | train_loss 0.0744 train_acc 0.9758 | val_loss 0.0902 val_acc 0.9720
17:11:12 | probe[linear/resnet50] | INFO | [linear] epoch 026/30 | train_loss 0.0742 train_acc 0.9760 | val_loss 0.0902 val_acc 0.9710
17:11:21 | probe[linear/resnet50] | INFO | [linear] epoch 027/30 | train_loss 0.0734 train_acc 0.9760 | val_loss 0.0897 val_acc 0.9712
17:11:29 | probe[linear/resnet50] | INFO | [linear] epoch 028/30 | train_loss 0.0740 train_acc 0.9757 | val_loss 0.0905 val_acc 0.9714
17:11:37 | probe[linear/resnet50] | INFO | [linear] epoch 029/30 | train_loss 0.0738 train_acc 0.9755 | val_loss 0.0902 val_acc 0.9715
17:11:46 | probe[linear/resnet50] | INFO | [linear] epoch 030/30 | train_loss 0.0735 train_acc 0.9766 | val_loss 0.0898 val_acc 0.9716
17:11:46 | probe[linear/resnet50] | INFO | [linear] done in 00:04:24 | best val_acc 0.9723
