21:32:27 | probe[linear/vit_small] | INFO | Loaded backbone weights — missing: 0, unexpected: 0
21:32:36 | probe[linear/vit_small] | INFO | [linear] epoch 001/30 | train_loss 1.3637 train_acc 0.6173 | val_loss 0.3190 val_acc 0.9526
21:32:45 | probe[linear/vit_small] | INFO | [linear] epoch 002/30 | train_loss 0.2018 train_acc 0.9564 | val_loss 0.1465 val_acc 0.9637
21:32:53 | probe[linear/vit_small] | INFO | [linear] epoch 003/30 | train_loss 0.1338 train_acc 0.9626 | val_loss 0.1182 val_acc 0.9684
21:33:02 | probe[linear/vit_small] | INFO | [linear] epoch 004/30 | train_loss 0.1169 train_acc 0.9658 | val_loss 0.1075 val_acc 0.9701
21:33:11 | probe[linear/vit_small] | INFO | [linear] epoch 005/30 | train_loss 0.1080 train_acc 0.9680 | val_loss 0.1022 val_acc 0.9715
21:33:19 | probe[linear/vit_small] | INFO | [linear] epoch 006/30 | train_loss 0.1031 train_acc 0.9690 | val_loss 0.0978 val_acc 0.9715
21:33:27 | probe[linear/vit_small] | INFO | [linear] epoch 007/30 | train_loss 0.0981 train_acc 0.9701 | val_loss 0.0941 val_acc 0.9722
21:33:36 | probe[linear/vit_small] | INFO | [linear] epoch 008/30 | train_loss 0.0950 train_acc 0.9709 | val_loss 0.0932 val_acc 0.9721
21:33:44 | probe[linear/vit_small] | INFO | [linear] epoch 009/30 | train_loss 0.0928 train_acc 0.9716 | val_loss 0.0892 val_acc 0.9741
21:33:52 | probe[linear/vit_small] | INFO | [linear] epoch 010/30 | train_loss 0.0900 train_acc 0.9720 | val_loss 0.0880 val_acc 0.9734
21:34:00 | probe[linear/vit_small] | INFO | [linear] epoch 011/30 | train_loss 0.0889 train_acc 0.9729 | val_loss 0.0864 val_acc 0.9741
21:34:09 | probe[linear/vit_small] | INFO | [linear] epoch 012/30 | train_loss 0.0874 train_acc 0.9729 | val_loss 0.0854 val_acc 0.9744
21:34:17 | probe[linear/vit_small] | INFO | [linear] epoch 013/30 | train_loss 0.0860 train_acc 0.9738 | val_loss 0.0850 val_acc 0.9749
21:34:26 | probe[linear/vit_small] | INFO | [linear] epoch 014/30 | train_loss 0.0848 train_acc 0.9738 | val_loss 0.0839 val_acc 0.9753
21:34:34 | probe[linear/vit_small] | INFO | [linear] epoch 015/30 | train_loss 0.0847 train_acc 0.9734 | val_loss 0.0831 val_acc 0.9748
21:34:42 | probe[linear/vit_small] | INFO | [linear] epoch 016/30 | train_loss 0.0833 train_acc 0.9737 | val_loss 0.0841 val_acc 0.9744
21:34:51 | probe[linear/vit_small] | INFO | [linear] epoch 017/30 | train_loss 0.0823 train_acc 0.9742 | val_loss 0.0818 val_acc 0.9759
21:34:59 | probe[linear/vit_small] | INFO | [linear] epoch 018/30 | train_loss 0.0819 train_acc 0.9741 | val_loss 0.0822 val_acc 0.9756
21:35:07 | probe[linear/vit_small] | INFO | [linear] epoch 019/30 | train_loss 0.0812 train_acc 0.9747 | val_loss 0.0814 val_acc 0.9752
21:35:15 | probe[linear/vit_small] | INFO | [linear] epoch 020/30 | train_loss 0.0812 train_acc 0.9745 | val_loss 0.0816 val_acc 0.9755
21:35:24 | probe[linear/vit_small] | INFO | [linear] epoch 021/30 | train_loss 0.0802 train_acc 0.9746 | val_loss 0.0804 val_acc 0.9763
21:35:32 | probe[linear/vit_small] | INFO | [linear] epoch 022/30 | train_loss 0.0807 train_acc 0.9745 | val_loss 0.0806 val_acc 0.9758
21:35:40 | probe[linear/vit_small] | INFO | [linear] epoch 023/30 | train_loss 0.0802 train_acc 0.9751 | val_loss 0.0801 val_acc 0.9758
21:35:48 | probe[linear/vit_small] | INFO | [linear] epoch 024/30 | train_loss 0.0796 train_acc 0.9747 | val_loss 0.0804 val_acc 0.9759
21:35:56 | probe[linear/vit_small] | INFO | [linear] epoch 025/30 | train_loss 0.0787 train_acc 0.9751 | val_loss 0.0801 val_acc 0.9760
21:36:05 | probe[linear/vit_small] | INFO | [linear] epoch 026/30 | train_loss 0.0793 train_acc 0.9753 | val_loss 0.0801 val_acc 0.9759
21:36:13 | probe[linear/vit_small] | INFO | [linear] epoch 027/30 | train_loss 0.0784 train_acc 0.9749 | val_loss 0.0799 val_acc 0.9757
21:36:21 | probe[linear/vit_small] | INFO | [linear] epoch 028/30 | train_loss 0.0786 train_acc 0.9753 | val_loss 0.0800 val_acc 0.9758
21:36:29 | probe[linear/vit_small] | INFO | [linear] epoch 029/30 | train_loss 0.0786 train_acc 0.9755 | val_loss 0.0799 val_acc 0.9759
21:36:38 | probe[linear/vit_small] | INFO | [linear] epoch 030/30 | train_loss 0.0782 train_acc 0.9749 | val_loss 0.0799 val_acc 0.9759
21:36:38 | probe[linear/vit_small] | INFO | [linear] done in 00:04:10 | best val_acc 0.9763
