04:46:21 | probe[finetune_1pct/resnet50] | INFO | Loaded backbone weights — missing: 0, unexpected: 0
04:46:24 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 001/30 | train_loss 2.5178 train_acc 0.0366 | val_loss 2.2118 val_acc 0.0747
04:46:26 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 002/30 | train_loss 2.1239 train_acc 0.1731 | val_loss 1.8656 val_acc 0.4288
04:46:29 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 003/30 | train_loss 1.7315 train_acc 0.4961 | val_loss 1.5283 val_acc 0.7024
04:46:31 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 004/30 | train_loss 1.3778 train_acc 0.7381 | val_loss 1.2034 val_acc 0.8536
04:46:34 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 005/30 | train_loss 1.0551 train_acc 0.8835 | val_loss 0.9052 val_acc 0.9312
04:46:36 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 006/30 | train_loss 0.7827 train_acc 0.9412 | val_loss 0.6594 val_acc 0.9493
04:46:38 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 007/30 | train_loss 0.5646 train_acc 0.9612 | val_loss 0.4731 val_acc 0.9597
04:46:41 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 008/30 | train_loss 0.3916 train_acc 0.9734 | val_loss 0.3452 val_acc 0.9709
04:46:43 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 009/30 | train_loss 0.2736 train_acc 0.9811 | val_loss 0.2581 val_acc 0.9796
04:46:45 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 010/30 | train_loss 0.1837 train_acc 0.9845 | val_loss 0.1945 val_acc 0.9823
04:46:47 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 011/30 | train_loss 0.1282 train_acc 0.9867 | val_loss 0.1488 val_acc 0.9837
04:46:50 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 012/30 | train_loss 0.0933 train_acc 0.9889 | val_loss 0.1193 val_acc 0.9854
04:46:52 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 013/30 | train_loss 0.0766 train_acc 0.9878 | val_loss 0.1015 val_acc 0.9869
04:46:54 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 014/30 | train_loss 0.0536 train_acc 0.9933 | val_loss 0.0875 val_acc 0.9874
04:46:56 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 015/30 | train_loss 0.0441 train_acc 0.9956 | val_loss 0.0773 val_acc 0.9874
04:46:58 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 016/30 | train_loss 0.0402 train_acc 0.9911 | val_loss 0.0701 val_acc 0.9874
04:47:00 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 017/30 | train_loss 0.0395 train_acc 0.9922 | val_loss 0.0645 val_acc 0.9876
04:47:03 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 018/30 | train_loss 0.0273 train_acc 0.9967 | val_loss 0.0588 val_acc 0.9877
04:47:05 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 019/30 | train_loss 0.0275 train_acc 0.9945 | val_loss 0.0547 val_acc 0.9879
04:47:07 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 020/30 | train_loss 0.0253 train_acc 0.9956 | val_loss 0.0515 val_acc 0.9877
04:47:09 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 021/30 | train_loss 0.0215 train_acc 1.0000 | val_loss 0.0489 val_acc 0.9877
04:47:11 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 022/30 | train_loss 0.0166 train_acc 0.9989 | val_loss 0.0473 val_acc 0.9874
04:47:13 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 023/30 | train_loss 0.0162 train_acc 0.9978 | val_loss 0.0462 val_acc 0.9876
04:47:15 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 024/30 | train_loss 0.0138 train_acc 1.0000 | val_loss 0.0453 val_acc 0.9875
04:47:17 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 025/30 | train_loss 0.0145 train_acc 0.9989 | val_loss 0.0445 val_acc 0.9876
04:47:19 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 026/30 | train_loss 0.0168 train_acc 0.9989 | val_loss 0.0439 val_acc 0.9877
04:47:21 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 027/30 | train_loss 0.0181 train_acc 0.9978 | val_loss 0.0432 val_acc 0.9877
04:47:23 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 028/30 | train_loss 0.0117 train_acc 1.0000 | val_loss 0.0428 val_acc 0.9878
04:47:25 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 029/30 | train_loss 0.0125 train_acc 0.9989 | val_loss 0.0424 val_acc 0.9881
04:47:27 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 030/30 | train_loss 0.0141 train_acc 1.0000 | val_loss 0.0421 val_acc 0.9882
04:47:28 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] done in 00:01:06 | best val_acc 0.9882
