15:25:04 | probe[linear/vit_small] | INFO | Loaded backbone weights — missing: 0, unexpected: 0
15:25:19 | probe[linear/vit_small] | INFO | [linear] epoch 001/30 | train_loss 0.9128 train_acc 0.7089 | val_loss 0.2734 val_acc 0.9049
15:25:33 | probe[linear/vit_small] | INFO | [linear] epoch 002/30 | train_loss 0.3125 train_acc 0.8895 | val_loss 0.2602 val_acc 0.9074
15:25:47 | probe[linear/vit_small] | INFO | [linear] epoch 003/30 | train_loss 0.3086 train_acc 0.8910 | val_loss 0.2558 val_acc 0.9106
15:26:00 | probe[linear/vit_small] | INFO | [linear] epoch 004/30 | train_loss 0.3055 train_acc 0.8920 | val_loss 0.2572 val_acc 0.9077
15:26:14 | probe[linear/vit_small] | INFO | [linear] epoch 005/30 | train_loss 0.3047 train_acc 0.8922 | val_loss 0.2551 val_acc 0.9092
15:26:28 | probe[linear/vit_small] | INFO | [linear] epoch 006/30 | train_loss 0.3047 train_acc 0.8920 | val_loss 0.2557 val_acc 0.9083
15:26:42 | probe[linear/vit_small] | INFO | [linear] epoch 007/30 | train_loss 0.3042 train_acc 0.8925 | val_loss 0.2536 val_acc 0.9101
15:26:56 | probe[linear/vit_small] | INFO | [linear] epoch 008/30 | train_loss 0.3035 train_acc 0.8928 | val_loss 0.2565 val_acc 0.9083
15:27:10 | probe[linear/vit_small] | INFO | [linear] epoch 009/30 | train_loss 0.3052 train_acc 0.8923 | val_loss 0.2537 val_acc 0.9078
15:27:25 | probe[linear/vit_small] | INFO | [linear] epoch 010/30 | train_loss 0.3055 train_acc 0.8922 | val_loss 0.2539 val_acc 0.9098
15:27:39 | probe[linear/vit_small] | INFO | [linear] epoch 011/30 | train_loss 0.3055 train_acc 0.8915 | val_loss 0.2524 val_acc 0.9107
15:27:54 | probe[linear/vit_small] | INFO | [linear] epoch 012/30 | train_loss 0.3033 train_acc 0.8928 | val_loss 0.2514 val_acc 0.9124
15:28:08 | probe[linear/vit_small] | INFO | [linear] epoch 013/30 | train_loss 0.3028 train_acc 0.8926 | val_loss 0.2547 val_acc 0.9077
15:28:22 | probe[linear/vit_small] | INFO | [linear] epoch 014/30 | train_loss 0.3032 train_acc 0.8923 | val_loss 0.2499 val_acc 0.9113
15:28:36 | probe[linear/vit_small] | INFO | [linear] epoch 015/30 | train_loss 0.3036 train_acc 0.8923 | val_loss 0.2502 val_acc 0.9104
15:28:50 | probe[linear/vit_small] | INFO | [linear] epoch 016/30 | train_loss 0.3013 train_acc 0.8932 | val_loss 0.2524 val_acc 0.9102
15:29:04 | probe[linear/vit_small] | INFO | [linear] epoch 017/30 | train_loss 0.3004 train_acc 0.8925 | val_loss 0.2480 val_acc 0.9131
15:29:18 | probe[linear/vit_small] | INFO | [linear] epoch 018/30 | train_loss 0.3023 train_acc 0.8932 | val_loss 0.2487 val_acc 0.9112
15:29:33 | probe[linear/vit_small] | INFO | [linear] epoch 019/30 | train_loss 0.2979 train_acc 0.8946 | val_loss 0.2502 val_acc 0.9110
15:29:47 | probe[linear/vit_small] | INFO | [linear] epoch 020/30 | train_loss 0.2989 train_acc 0.8941 | val_loss 0.2490 val_acc 0.9120
15:30:01 | probe[linear/vit_small] | INFO | [linear] epoch 021/30 | train_loss 0.3012 train_acc 0.8934 | val_loss 0.2511 val_acc 0.9108
15:30:14 | probe[linear/vit_small] | INFO | [linear] epoch 022/30 | train_loss 0.2975 train_acc 0.8945 | val_loss 0.2477 val_acc 0.9124
15:30:28 | probe[linear/vit_small] | INFO | [linear] epoch 023/30 | train_loss 0.2974 train_acc 0.8953 | val_loss 0.2480 val_acc 0.9121
15:30:42 | probe[linear/vit_small] | INFO | [linear] epoch 024/30 | train_loss 0.2990 train_acc 0.8945 | val_loss 0.2485 val_acc 0.9120
15:30:56 | probe[linear/vit_small] | INFO | [linear] epoch 025/30 | train_loss 0.2975 train_acc 0.8938 | val_loss 0.2474 val_acc 0.9126
15:31:10 | probe[linear/vit_small] | INFO | [linear] epoch 026/30 | train_loss 0.2968 train_acc 0.8948 | val_loss 0.2478 val_acc 0.9121
15:31:25 | probe[linear/vit_small] | INFO | [linear] epoch 027/30 | train_loss 0.2977 train_acc 0.8942 | val_loss 0.2484 val_acc 0.9116
15:31:39 | probe[linear/vit_small] | INFO | [linear] epoch 028/30 | train_loss 0.2963 train_acc 0.8957 | val_loss 0.2477 val_acc 0.9124
15:31:53 | probe[linear/vit_small] | INFO | [linear] epoch 029/30 | train_loss 0.2979 train_acc 0.8930 | val_loss 0.2479 val_acc 0.9119
15:32:07 | probe[linear/vit_small] | INFO | [linear] epoch 030/30 | train_loss 0.3000 train_acc 0.8931 | val_loss 0.2479 val_acc 0.9120
15:32:07 | probe[linear/vit_small] | INFO | [linear] done in 00:07:02 | best val_acc 0.9131
