22:42:58 | probe[finetune_10pct/vit_small] | INFO | Loaded backbone weights — missing: 0, unexpected: 0
22:43:02 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 001/30 | train_loss 2.0460 train_acc 0.2790 | val_loss 1.3389 val_acc 0.7218
22:43:05 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 002/30 | train_loss 0.7764 train_acc 0.8363 | val_loss 0.2956 val_acc 0.9257
22:43:09 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 003/30 | train_loss 0.2399 train_acc 0.9287 | val_loss 0.1531 val_acc 0.9537
22:43:12 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 004/30 | train_loss 0.1560 train_acc 0.9492 | val_loss 0.1268 val_acc 0.9604
22:43:15 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 005/30 | train_loss 0.1307 train_acc 0.9583 | val_loss 0.1183 val_acc 0.9609
22:43:19 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 006/30 | train_loss 0.1267 train_acc 0.9577 | val_loss 0.1087 val_acc 0.9635
22:43:22 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 007/30 | train_loss 0.1136 train_acc 0.9630 | val_loss 0.1014 val_acc 0.9673
22:43:25 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 008/30 | train_loss 0.1052 train_acc 0.9668 | val_loss 0.0960 val_acc 0.9688
22:43:29 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 009/30 | train_loss 0.0946 train_acc 0.9686 | val_loss 0.0921 val_acc 0.9691
22:43:32 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 010/30 | train_loss 0.0916 train_acc 0.9706 | val_loss 0.0988 val_acc 0.9648
22:43:35 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 011/30 | train_loss 0.0948 train_acc 0.9678 | val_loss 0.0938 val_acc 0.9679
22:43:38 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 012/30 | train_loss 0.0884 train_acc 0.9702 | val_loss 0.0825 val_acc 0.9733
22:43:41 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 013/30 | train_loss 0.0774 train_acc 0.9740 | val_loss 0.0806 val_acc 0.9731
22:43:44 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 014/30 | train_loss 0.0854 train_acc 0.9701 | val_loss 0.0861 val_acc 0.9701
22:43:47 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 015/30 | train_loss 0.0751 train_acc 0.9758 | val_loss 0.0871 val_acc 0.9699
22:43:50 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 016/30 | train_loss 0.0744 train_acc 0.9744 | val_loss 0.0780 val_acc 0.9728
22:43:53 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 017/30 | train_loss 0.0681 train_acc 0.9767 | val_loss 0.0813 val_acc 0.9727
22:43:56 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 018/30 | train_loss 0.0707 train_acc 0.9773 | val_loss 0.0773 val_acc 0.9733
22:43:59 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 019/30 | train_loss 0.0679 train_acc 0.9784 | val_loss 0.0776 val_acc 0.9729
22:44:02 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 020/30 | train_loss 0.0673 train_acc 0.9762 | val_loss 0.0736 val_acc 0.9742
22:44:06 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 021/30 | train_loss 0.0648 train_acc 0.9791 | val_loss 0.0771 val_acc 0.9734
22:44:09 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 022/30 | train_loss 0.0633 train_acc 0.9793 | val_loss 0.0734 val_acc 0.9746
22:44:12 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 023/30 | train_loss 0.0622 train_acc 0.9797 | val_loss 0.0757 val_acc 0.9733
22:44:15 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 024/30 | train_loss 0.0593 train_acc 0.9814 | val_loss 0.0739 val_acc 0.9739
22:44:18 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 025/30 | train_loss 0.0592 train_acc 0.9807 | val_loss 0.0747 val_acc 0.9730
22:44:21 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 026/30 | train_loss 0.0563 train_acc 0.9826 | val_loss 0.0731 val_acc 0.9739
22:44:24 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 027/30 | train_loss 0.0605 train_acc 0.9797 | val_loss 0.0728 val_acc 0.9740
22:44:27 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 028/30 | train_loss 0.0617 train_acc 0.9793 | val_loss 0.0724 val_acc 0.9737
22:44:30 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 029/30 | train_loss 0.0606 train_acc 0.9789 | val_loss 0.0725 val_acc 0.9740
22:44:33 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 030/30 | train_loss 0.0619 train_acc 0.9801 | val_loss 0.0725 val_acc 0.9740
22:44:33 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] done in 00:01:34 | best val_acc 0.9746
