20:11:30 | probe[finetune_10pct/vit_small] | INFO | Loaded backbone weights — missing: 0, unexpected: 0
20:11:35 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 001/30 | train_loss 1.8156 train_acc 0.3937 | val_loss 0.8844 val_acc 0.7945
20:11:39 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 002/30 | train_loss 0.4200 train_acc 0.8932 | val_loss 0.1982 val_acc 0.9388
20:11:43 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 003/30 | train_loss 0.1868 train_acc 0.9417 | val_loss 0.1498 val_acc 0.9510
20:11:47 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 004/30 | train_loss 0.1429 train_acc 0.9537 | val_loss 0.1508 val_acc 0.9514
20:11:51 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 005/30 | train_loss 0.1149 train_acc 0.9639 | val_loss 0.1102 val_acc 0.9661
20:11:55 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 006/30 | train_loss 0.0946 train_acc 0.9699 | val_loss 0.1141 val_acc 0.9654
20:11:59 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 007/30 | train_loss 0.0878 train_acc 0.9710 | val_loss 0.1002 val_acc 0.9678
20:12:03 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 008/30 | train_loss 0.0765 train_acc 0.9752 | val_loss 0.0982 val_acc 0.9699
20:12:07 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 009/30 | train_loss 0.0749 train_acc 0.9750 | val_loss 0.1009 val_acc 0.9686
20:12:11 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 010/30 | train_loss 0.0600 train_acc 0.9797 | val_loss 0.1052 val_acc 0.9655
20:12:15 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 011/30 | train_loss 0.0612 train_acc 0.9798 | val_loss 0.1138 val_acc 0.9632
20:12:19 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 012/30 | train_loss 0.0625 train_acc 0.9788 | val_loss 0.1032 val_acc 0.9671
20:12:23 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 013/30 | train_loss 0.0465 train_acc 0.9837 | val_loss 0.0977 val_acc 0.9721
20:12:27 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 014/30 | train_loss 0.0427 train_acc 0.9861 | val_loss 0.0911 val_acc 0.9714
20:12:31 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 015/30 | train_loss 0.0348 train_acc 0.9873 | val_loss 0.0837 val_acc 0.9732
20:12:35 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 016/30 | train_loss 0.0324 train_acc 0.9896 | val_loss 0.0865 val_acc 0.9739
20:12:39 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 017/30 | train_loss 0.0331 train_acc 0.9890 | val_loss 0.0896 val_acc 0.9725
20:12:43 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 018/30 | train_loss 0.0323 train_acc 0.9893 | val_loss 0.0822 val_acc 0.9739
20:12:47 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 019/30 | train_loss 0.0269 train_acc 0.9909 | val_loss 0.0816 val_acc 0.9743
20:12:51 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 020/30 | train_loss 0.0242 train_acc 0.9914 | val_loss 0.0836 val_acc 0.9739
20:12:55 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 021/30 | train_loss 0.0201 train_acc 0.9941 | val_loss 0.0893 val_acc 0.9729
20:12:59 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 022/30 | train_loss 0.0200 train_acc 0.9939 | val_loss 0.0833 val_acc 0.9740
20:13:03 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 023/30 | train_loss 0.0228 train_acc 0.9926 | val_loss 0.0825 val_acc 0.9752
20:13:07 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 024/30 | train_loss 0.0197 train_acc 0.9941 | val_loss 0.0851 val_acc 0.9740
20:13:11 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 025/30 | train_loss 0.0176 train_acc 0.9947 | val_loss 0.0835 val_acc 0.9738
20:13:15 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 026/30 | train_loss 0.0177 train_acc 0.9952 | val_loss 0.0814 val_acc 0.9742
20:13:18 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 027/30 | train_loss 0.0147 train_acc 0.9956 | val_loss 0.0823 val_acc 0.9743
20:13:22 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 028/30 | train_loss 0.0175 train_acc 0.9944 | val_loss 0.0818 val_acc 0.9750
20:13:26 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 029/30 | train_loss 0.0161 train_acc 0.9951 | val_loss 0.0817 val_acc 0.9753
20:13:30 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 030/30 | train_loss 0.0177 train_acc 0.9940 | val_loss 0.0812 val_acc 0.9748
20:13:30 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] done in 00:02:00 | best val_acc 0.9753
