01:08:38 | probe[finetune_1pct/resnet50] | INFO | Loaded backbone weights — missing: 0, unexpected: 0
01:08:40 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 001/30 | train_loss 2.2264 train_acc 0.0810 | val_loss 1.7433 val_acc 0.3913
01:08:42 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 002/30 | train_loss 1.2768 train_acc 0.5971 | val_loss 1.5714 val_acc 0.5207
01:08:44 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 003/30 | train_loss 0.7565 train_acc 0.6970 | val_loss 0.7863 val_acc 0.7216
01:08:45 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 004/30 | train_loss 0.6206 train_acc 0.7569 | val_loss 0.7174 val_acc 0.7093
01:08:46 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 005/30 | train_loss 0.5756 train_acc 0.7758 | val_loss 0.6441 val_acc 0.7744
01:08:48 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 006/30 | train_loss 0.5269 train_acc 0.8013 | val_loss 0.7394 val_acc 0.7501
01:08:49 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 007/30 | train_loss 0.4195 train_acc 0.8335 | val_loss 0.6314 val_acc 0.7870
01:08:51 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 008/30 | train_loss 0.4028 train_acc 0.8457 | val_loss 0.5556 val_acc 0.8145
01:08:52 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 009/30 | train_loss 0.3827 train_acc 0.8557 | val_loss 0.5218 val_acc 0.8262
01:08:54 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 010/30 | train_loss 0.3101 train_acc 0.8824 | val_loss 0.5590 val_acc 0.8244
01:08:55 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 011/30 | train_loss 0.2965 train_acc 0.8868 | val_loss 0.5371 val_acc 0.8102
01:08:56 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 012/30 | train_loss 0.3126 train_acc 0.8801 | val_loss 0.4799 val_acc 0.8311
01:08:57 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 013/30 | train_loss 0.2584 train_acc 0.9090 | val_loss 0.4554 val_acc 0.8471
01:08:59 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 014/30 | train_loss 0.2473 train_acc 0.8990 | val_loss 0.5212 val_acc 0.8228
01:09:00 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 015/30 | train_loss 0.2620 train_acc 0.8990 | val_loss 0.5174 val_acc 0.8404
01:09:02 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 016/30 | train_loss 0.2378 train_acc 0.9046 | val_loss 0.4772 val_acc 0.8547
01:09:03 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 017/30 | train_loss 0.2240 train_acc 0.9123 | val_loss 0.4543 val_acc 0.8444
01:09:04 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 018/30 | train_loss 0.2249 train_acc 0.9168 | val_loss 0.4293 val_acc 0.8559
01:09:06 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 019/30 | train_loss 0.1984 train_acc 0.9256 | val_loss 0.4209 val_acc 0.8598
01:09:07 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 020/30 | train_loss 0.1816 train_acc 0.9367 | val_loss 0.4025 val_acc 0.8699
01:09:09 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 021/30 | train_loss 0.1946 train_acc 0.9267 | val_loss 0.3964 val_acc 0.8722
01:09:10 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 022/30 | train_loss 0.1776 train_acc 0.9301 | val_loss 0.3968 val_acc 0.8705
01:09:11 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 023/30 | train_loss 0.1810 train_acc 0.9390 | val_loss 0.3985 val_acc 0.8686
01:09:13 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 024/30 | train_loss 0.1642 train_acc 0.9401 | val_loss 0.3955 val_acc 0.8704
01:09:14 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 025/30 | train_loss 0.1601 train_acc 0.9412 | val_loss 0.4034 val_acc 0.8690
01:09:15 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 026/30 | train_loss 0.1436 train_acc 0.9434 | val_loss 0.4037 val_acc 0.8710
01:09:16 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 027/30 | train_loss 0.1490 train_acc 0.9501 | val_loss 0.4032 val_acc 0.8716
01:09:18 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 028/30 | train_loss 0.1478 train_acc 0.9467 | val_loss 0.4032 val_acc 0.8701
01:09:19 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 029/30 | train_loss 0.1516 train_acc 0.9412 | val_loss 0.4053 val_acc 0.8693
01:09:20 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] epoch 030/30 | train_loss 0.1304 train_acc 0.9556 | val_loss 0.4068 val_acc 0.8685
01:09:20 | probe[finetune_1pct/resnet50] | INFO | [finetune_1pct] done in 00:00:42 | best val_acc 0.8722
