23:31:10 | probe[finetune_10pct/resnet50] | INFO | Loaded backbone weights — missing: 0, unexpected: 0
23:31:14 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 001/30 | train_loss 1.2555 train_acc 0.5573 | val_loss 0.4958 val_acc 0.8184
23:31:16 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 002/30 | train_loss 0.4425 train_acc 0.8393 | val_loss 0.4018 val_acc 0.8532
23:31:19 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 003/30 | train_loss 0.3563 train_acc 0.8717 | val_loss 0.4320 val_acc 0.8518
23:31:21 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 004/30 | train_loss 0.3212 train_acc 0.8896 | val_loss 0.2742 val_acc 0.9070
23:31:24 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 005/30 | train_loss 0.2770 train_acc 0.9018 | val_loss 0.2567 val_acc 0.9096
23:31:27 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 006/30 | train_loss 0.2375 train_acc 0.9146 | val_loss 0.2422 val_acc 0.9158
23:31:29 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 007/30 | train_loss 0.2212 train_acc 0.9220 | val_loss 0.3094 val_acc 0.8910
23:31:32 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 008/30 | train_loss 0.2112 train_acc 0.9253 | val_loss 0.1892 val_acc 0.9385
23:31:34 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 009/30 | train_loss 0.1885 train_acc 0.9359 | val_loss 0.3336 val_acc 0.8941
23:31:36 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 010/30 | train_loss 0.1795 train_acc 0.9389 | val_loss 0.2289 val_acc 0.9179
23:31:39 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 011/30 | train_loss 0.1586 train_acc 0.9453 | val_loss 0.2470 val_acc 0.9149
23:31:41 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 012/30 | train_loss 0.1627 train_acc 0.9450 | val_loss 0.1626 val_acc 0.9452
23:31:44 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 013/30 | train_loss 0.1372 train_acc 0.9520 | val_loss 0.2040 val_acc 0.9307
23:31:46 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 014/30 | train_loss 0.1355 train_acc 0.9530 | val_loss 0.2213 val_acc 0.9291
23:31:49 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 015/30 | train_loss 0.1297 train_acc 0.9560 | val_loss 0.2542 val_acc 0.9216
23:31:51 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 016/30 | train_loss 0.1179 train_acc 0.9590 | val_loss 0.1653 val_acc 0.9461
23:31:54 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 017/30 | train_loss 0.1071 train_acc 0.9637 | val_loss 0.1546 val_acc 0.9485
23:31:57 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 018/30 | train_loss 0.1068 train_acc 0.9644 | val_loss 0.1515 val_acc 0.9512
23:31:59 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 019/30 | train_loss 0.0935 train_acc 0.9684 | val_loss 0.1376 val_acc 0.9561
23:32:02 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 020/30 | train_loss 0.0862 train_acc 0.9699 | val_loss 0.1499 val_acc 0.9531
23:32:04 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 021/30 | train_loss 0.0789 train_acc 0.9714 | val_loss 0.1479 val_acc 0.9523
23:32:07 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 022/30 | train_loss 0.0752 train_acc 0.9740 | val_loss 0.1502 val_acc 0.9520
23:32:09 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 023/30 | train_loss 0.0674 train_acc 0.9754 | val_loss 0.1379 val_acc 0.9542
23:32:12 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 024/30 | train_loss 0.0643 train_acc 0.9784 | val_loss 0.1317 val_acc 0.9591
23:32:14 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 025/30 | train_loss 0.0586 train_acc 0.9792 | val_loss 0.1425 val_acc 0.9544
23:32:17 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 026/30 | train_loss 0.0631 train_acc 0.9792 | val_loss 0.1339 val_acc 0.9580
23:32:19 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 027/30 | train_loss 0.0587 train_acc 0.9796 | val_loss 0.1241 val_acc 0.9598
23:32:22 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 028/30 | train_loss 0.0546 train_acc 0.9828 | val_loss 0.1344 val_acc 0.9575
23:32:24 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 029/30 | train_loss 0.0540 train_acc 0.9806 | val_loss 0.1231 val_acc 0.9599
23:32:27 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] epoch 030/30 | train_loss 0.0533 train_acc 0.9833 | val_loss 0.1294 val_acc 0.9586
23:32:27 | probe[finetune_10pct/resnet50] | INFO | [finetune_10pct] done in 00:01:16 | best val_acc 0.9599
