22:28:57 | probe[finetune_10pct/vit_small] | INFO | Loaded backbone weights — missing: 0, unexpected: 0
22:29:01 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 001/30 | train_loss 1.8732 train_acc 0.3876 | val_loss 0.8586 val_acc 0.7974
22:29:04 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 002/30 | train_loss 0.3281 train_acc 0.9287 | val_loss 0.1442 val_acc 0.9524
22:29:08 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 003/30 | train_loss 0.1023 train_acc 0.9691 | val_loss 0.0712 val_acc 0.9790
22:29:11 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 004/30 | train_loss 0.0679 train_acc 0.9794 | val_loss 0.0635 val_acc 0.9813
22:29:15 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 005/30 | train_loss 0.0488 train_acc 0.9852 | val_loss 0.0546 val_acc 0.9837
22:29:18 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 006/30 | train_loss 0.0423 train_acc 0.9860 | val_loss 0.0458 val_acc 0.9855
22:29:21 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 007/30 | train_loss 0.0316 train_acc 0.9906 | val_loss 0.0512 val_acc 0.9832
22:29:24 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 008/30 | train_loss 0.0274 train_acc 0.9910 | val_loss 0.0432 val_acc 0.9872
22:29:28 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 009/30 | train_loss 0.0247 train_acc 0.9923 | val_loss 0.0554 val_acc 0.9827
22:29:31 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 010/30 | train_loss 0.0257 train_acc 0.9911 | val_loss 0.0446 val_acc 0.9857
22:29:34 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 011/30 | train_loss 0.0199 train_acc 0.9947 | val_loss 0.0459 val_acc 0.9858
22:29:37 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 012/30 | train_loss 0.0171 train_acc 0.9946 | val_loss 0.0426 val_acc 0.9868
22:29:41 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 013/30 | train_loss 0.0214 train_acc 0.9936 | val_loss 0.0407 val_acc 0.9886
22:29:44 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 014/30 | train_loss 0.0155 train_acc 0.9958 | val_loss 0.0372 val_acc 0.9891
22:29:47 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 015/30 | train_loss 0.0120 train_acc 0.9970 | val_loss 0.0376 val_acc 0.9891
22:29:51 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 016/30 | train_loss 0.0092 train_acc 0.9973 | val_loss 0.0366 val_acc 0.9888
22:29:54 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 017/30 | train_loss 0.0079 train_acc 0.9976 | val_loss 0.0382 val_acc 0.9891
22:29:57 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 018/30 | train_loss 0.0069 train_acc 0.9982 | val_loss 0.0426 val_acc 0.9873
22:30:00 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 019/30 | train_loss 0.0060 train_acc 0.9979 | val_loss 0.0406 val_acc 0.9879
22:30:03 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 020/30 | train_loss 0.0049 train_acc 0.9986 | val_loss 0.0384 val_acc 0.9885
22:30:06 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 021/30 | train_loss 0.0037 train_acc 0.9992 | val_loss 0.0344 val_acc 0.9901
22:30:10 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 022/30 | train_loss 0.0044 train_acc 0.9990 | val_loss 0.0381 val_acc 0.9882
22:30:13 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 023/30 | train_loss 0.0047 train_acc 0.9989 | val_loss 0.0391 val_acc 0.9883
22:30:16 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 024/30 | train_loss 0.0025 train_acc 0.9994 | val_loss 0.0376 val_acc 0.9895
22:30:19 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 025/30 | train_loss 0.0034 train_acc 0.9992 | val_loss 0.0348 val_acc 0.9898
22:30:22 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 026/30 | train_loss 0.0032 train_acc 0.9993 | val_loss 0.0352 val_acc 0.9896
22:30:25 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 027/30 | train_loss 0.0033 train_acc 0.9993 | val_loss 0.0373 val_acc 0.9893
22:30:28 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 028/30 | train_loss 0.0030 train_acc 0.9996 | val_loss 0.0362 val_acc 0.9895
22:30:31 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 029/30 | train_loss 0.0024 train_acc 0.9996 | val_loss 0.0355 val_acc 0.9895
22:30:34 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] epoch 030/30 | train_loss 0.0027 train_acc 0.9994 | val_loss 0.0354 val_acc 0.9896
22:30:34 | probe[finetune_10pct/vit_small] | INFO | [finetune_10pct] done in 00:01:36 | best val_acc 0.9901
