02:11:43 | ssl[simclr/vit_small] | INFO | Model: simclr / vit_small -- params: 22.93M
02:11:48 | ssl[simclr/vit_small] | INFO | epoch 001 done in 00:00:05 | loss 5.9508
02:11:54 | ssl[simclr/vit_small] | INFO | epoch 002 done in 00:00:05 | loss 4.9801
02:11:58 | ssl[simclr/vit_small] | INFO | epoch 003 done in 00:00:04 | loss 4.2100
02:12:04 | ssl[simclr/vit_small] | INFO | epoch 004 done in 00:00:05 | loss 3.7195
02:12:10 | ssl[simclr/vit_small] | INFO | epoch 005 done in 00:00:05 | loss 3.4734
02:12:15 | ssl[simclr/vit_small] | INFO | epoch 006 done in 00:00:05 | loss 3.2469
02:12:21 | ssl[simclr/vit_small] | INFO | epoch 007 done in 00:00:05 | loss 3.0389
02:12:25 | ssl[simclr/vit_small] | INFO | epoch 008 done in 00:00:04 | loss 2.8600
02:12:31 | ssl[simclr/vit_small] | INFO | epoch 009 done in 00:00:05 | loss 2.7185
02:12:35 | ssl[simclr/vit_small] | INFO | epoch 010 done in 00:00:04 | loss 2.6336
02:12:41 | ssl[simclr/vit_small] | INFO | epoch 011 done in 00:00:06 | loss 2.5444
02:12:46 | ssl[simclr/vit_small] | INFO | epoch 012 done in 00:00:05 | loss 2.4809
02:12:52 | ssl[simclr/vit_small] | INFO | epoch 013 done in 00:00:05 | loss 2.4481
02:12:57 | ssl[simclr/vit_small] | INFO | epoch 014 done in 00:00:05 | loss 2.3531
02:13:02 | ssl[simclr/vit_small] | INFO | epoch 015 done in 00:00:04 | loss 2.2746
02:13:08 | ssl[simclr/vit_small] | INFO | epoch 016 done in 00:00:05 | loss 2.2436
02:13:12 | ssl[simclr/vit_small] | INFO | epoch 017 done in 00:00:04 | loss 2.2301
02:13:18 | ssl[simclr/vit_small] | INFO | epoch 018 done in 00:00:05 | loss 2.1602
02:13:23 | ssl[simclr/vit_small] | INFO | epoch 019 done in 00:00:05 | loss 2.0786
02:13:29 | ssl[simclr/vit_small] | INFO | epoch 020 done in 00:00:05 | loss 2.0755
02:13:33 | ssl[simclr/vit_small] | INFO | epoch 021 done in 00:00:04 | loss 2.0599
02:13:39 | ssl[simclr/vit_small] | INFO | epoch 022 done in 00:00:05 | loss 1.9801
02:13:43 | ssl[simclr/vit_small] | INFO | epoch 023 done in 00:00:04 | loss 1.9329
02:13:49 | ssl[simclr/vit_small] | INFO | epoch 024 done in 00:00:06 | loss 1.9209
02:13:55 | ssl[simclr/vit_small] | INFO | epoch 025 done in 00:00:05 | loss 1.8967
02:14:00 | ssl[simclr/vit_small] | INFO | epoch 026 done in 00:00:05 | loss 1.8820
02:14:06 | ssl[simclr/vit_small] | INFO | epoch 027 done in 00:00:05 | loss 1.7993
02:14:11 | ssl[simclr/vit_small] | INFO | epoch 028 done in 00:00:04 | loss 1.8113
02:14:16 | ssl[simclr/vit_small] | INFO | epoch 029 done in 00:00:05 | loss 1.7774
02:14:20 | ssl[simclr/vit_small] | INFO | epoch 030 done in 00:00:03 | loss 1.7359
02:14:26 | ssl[simclr/vit_small] | INFO | epoch 031 done in 00:00:05 | loss 1.7401
02:14:32 | ssl[simclr/vit_small] | INFO | epoch 032 done in 00:00:05 | loss 1.7196
02:14:37 | ssl[simclr/vit_small] | INFO | epoch 033 done in 00:00:05 | loss 1.7128
02:14:43 | ssl[simclr/vit_small] | INFO | epoch 034 done in 00:00:05 | loss 1.6765
02:14:48 | ssl[simclr/vit_small] | INFO | epoch 035 done in 00:00:04 | loss 1.6217
02:14:53 | ssl[simclr/vit_small] | INFO | epoch 036 done in 00:00:05 | loss 1.6159
02:14:58 | ssl[simclr/vit_small] | INFO | epoch 037 done in 00:00:04 | loss 1.5993
02:15:03 | ssl[simclr/vit_small] | INFO | epoch 038 done in 00:00:05 | loss 1.5862
02:15:08 | ssl[simclr/vit_small] | INFO | epoch 039 done in 00:00:04 | loss 1.5588
02:15:14 | ssl[simclr/vit_small] | INFO | epoch 040 done in 00:00:05 | loss 1.5277
02:15:18 | ssl[simclr/vit_small] | INFO | epoch 041 done in 00:00:04 | loss 1.5336
02:15:23 | ssl[simclr/vit_small] | INFO | epoch 042 done in 00:00:05 | loss 1.5118
