[2026-04-28T04:16:42+00:00] [SUP] backbone=resnet50
[2026-04-28T04:16:42+00:00] ------------------------------------------------
04:16:59 | sup[resnet50] | INFO | params: 23.53M
04:17:17 | sup[resnet50] | INFO | epoch 001/100 | train_loss 1.3521 train_acc 0.5007 | val_loss 1.0234 val_acc 0.6350 (00:00:18)
04:17:30 | sup[resnet50] | INFO | epoch 002/100 | train_loss 0.6728 train_acc 0.7567 | val_loss 0.6635 val_acc 0.7691 (00:00:13)
04:17:43 | sup[resnet50] | INFO | epoch 003/100 | train_loss 0.3578 train_acc 0.8753 | val_loss 0.4456 val_acc 0.8774 (00:00:13)
04:17:56 | sup[resnet50] | INFO | epoch 004/100 | train_loss 0.2643 train_acc 0.9088 | val_loss 0.3665 val_acc 0.8955 (00:00:12)
04:18:09 | sup[resnet50] | INFO | epoch 005/100 | train_loss 0.2254 train_acc 0.9241 | val_loss 0.6560 val_acc 0.8396 (00:00:12)
04:18:22 | sup[resnet50] | INFO | epoch 006/100 | train_loss 0.1968 train_acc 0.9350 | val_loss 0.4961 val_acc 0.8549 (00:00:12)
04:18:35 | sup[resnet50] | INFO | epoch 007/100 | train_loss 0.1622 train_acc 0.9463 | val_loss 0.3017 val_acc 0.9040 (00:00:12)
04:18:48 | sup[resnet50] | INFO | epoch 008/100 | train_loss 0.1422 train_acc 0.9535 | val_loss 0.2138 val_acc 0.9339 (00:00:12)
04:19:01 | sup[resnet50] | INFO | epoch 009/100 | train_loss 0.1264 train_acc 0.9578 | val_loss 0.1470 val_acc 0.9553 (00:00:13)
04:19:13 | sup[resnet50] | INFO | epoch 010/100 | train_loss 0.1107 train_acc 0.9633 | val_loss 0.1394 val_acc 0.9561 (00:00:12)
04:19:26 | sup[resnet50] | INFO | epoch 011/100 | train_loss 0.1021 train_acc 0.9673 | val_loss 0.1678 val_acc 0.9460 (00:00:12)
04:19:40 | sup[resnet50] | INFO | epoch 012/100 | train_loss 0.0955 train_acc 0.9685 | val_loss 0.0704 val_acc 0.9774 (00:00:13)
04:19:53 | sup[resnet50] | INFO | epoch 013/100 | train_loss 0.0866 train_acc 0.9712 | val_loss 0.2267 val_acc 0.9349 (00:00:13)
04:20:06 | sup[resnet50] | INFO | epoch 014/100 | train_loss 0.0807 train_acc 0.9731 | val_loss 0.1146 val_acc 0.9637 (00:00:13)
04:20:19 | sup[resnet50] | INFO | epoch 015/100 | train_loss 0.0799 train_acc 0.9730 | val_loss 0.0775 val_acc 0.9733 (00:00:12)
04:20:32 | sup[resnet50] | INFO | epoch 016/100 | train_loss 0.0714 train_acc 0.9763 | val_loss 0.2011 val_acc 0.9381 (00:00:12)
04:20:45 | sup[resnet50] | INFO | epoch 017/100 | train_loss 0.0718 train_acc 0.9764 | val_loss 0.0858 val_acc 0.9708 (00:00:13)
04:20:57 | sup[resnet50] | INFO | epoch 018/100 | train_loss 0.0664 train_acc 0.9783 | val_loss 0.1820 val_acc 0.9460 (00:00:12)
04:21:10 | sup[resnet50] | INFO | epoch 019/100 | train_loss 0.0618 train_acc 0.9796 | val_loss 0.0460 val_acc 0.9856 (00:00:12)
04:21:23 | sup[resnet50] | INFO | epoch 020/100 | train_loss 0.0589 train_acc 0.9810 | val_loss 0.0469 val_acc 0.9841 (00:00:12)
04:21:36 | sup[resnet50] | INFO | epoch 021/100 | train_loss 0.0557 train_acc 0.9820 | val_loss 0.0604 val_acc 0.9785 (00:00:12)
04:21:49 | sup[resnet50] | INFO | epoch 022/100 | train_loss 0.0535 train_acc 0.9823 | val_loss 0.0835 val_acc 0.9738 (00:00:12)
04:22:02 | sup[resnet50] | INFO | epoch 023/100 | train_loss 0.0477 train_acc 0.9846 | val_loss 0.0524 val_acc 0.9822 (00:00:12)
04:22:14 | sup[resnet50] | INFO | epoch 024/100 | train_loss 0.0510 train_acc 0.9831 | val_loss 0.0950 val_acc 0.9701 (00:00:12)
04:22:27 | sup[resnet50] | INFO | epoch 025/100 | train_loss 0.0479 train_acc 0.9838 | val_loss 0.0706 val_acc 0.9775 (00:00:12)
04:22:40 | sup[resnet50] | INFO | epoch 026/100 | train_loss 0.0434 train_acc 0.9855 | val_loss 0.0763 val_acc 0.9749 (00:00:12)
