22:22:13 | sup[vit_small] | INFO | params: 21.62M
22:22:25 | sup[vit_small] | INFO | epoch 001/100 | train_loss 1.0308 train_acc 0.6205 | val_loss 0.6282 val_acc 0.7815 (00:00:11)
22:22:33 | sup[vit_small] | INFO | epoch 002/100 | train_loss 0.5720 train_acc 0.7925 | val_loss 0.3626 val_acc 0.8772 (00:00:08)
22:22:42 | sup[vit_small] | INFO | epoch 003/100 | train_loss 0.4240 train_acc 0.8481 | val_loss 0.3306 val_acc 0.8739 (00:00:08)
22:22:51 | sup[vit_small] | INFO | epoch 004/100 | train_loss 0.3850 train_acc 0.8640 | val_loss 0.3313 val_acc 0.8859 (00:00:08)
22:23:00 | sup[vit_small] | INFO | epoch 005/100 | train_loss 0.3820 train_acc 0.8652 | val_loss 0.4014 val_acc 0.8537 (00:00:08)
22:23:09 | sup[vit_small] | INFO | epoch 006/100 | train_loss 0.3868 train_acc 0.8632 | val_loss 0.3072 val_acc 0.8884 (00:00:08)
22:23:18 | sup[vit_small] | INFO | epoch 007/100 | train_loss 0.3800 train_acc 0.8634 | val_loss 0.3312 val_acc 0.8795 (00:00:08)
22:23:27 | sup[vit_small] | INFO | epoch 008/100 | train_loss 0.3855 train_acc 0.8614 | val_loss 0.3042 val_acc 0.8903 (00:00:09)
22:23:35 | sup[vit_small] | INFO | epoch 009/100 | train_loss 0.3964 train_acc 0.8580 | val_loss 0.4035 val_acc 0.8538 (00:00:08)
22:23:44 | sup[vit_small] | INFO | epoch 010/100 | train_loss 0.4106 train_acc 0.8530 | val_loss 0.3284 val_acc 0.8841 (00:00:08)
22:23:53 | sup[vit_small] | INFO | epoch 011/100 | train_loss 0.3858 train_acc 0.8617 | val_loss 0.3304 val_acc 0.8822 (00:00:08)
22:24:02 | sup[vit_small] | INFO | epoch 012/100 | train_loss 0.3829 train_acc 0.8632 | val_loss 0.3258 val_acc 0.8815 (00:00:09)
22:24:11 | sup[vit_small] | INFO | epoch 013/100 | train_loss 0.3834 train_acc 0.8623 | val_loss 0.3479 val_acc 0.8761 (00:00:09)
22:24:20 | sup[vit_small] | INFO | epoch 014/100 | train_loss 0.3836 train_acc 0.8616 | val_loss 0.2972 val_acc 0.8956 (00:00:08)
22:24:29 | sup[vit_small] | INFO | epoch 015/100 | train_loss 0.3753 train_acc 0.8647 | val_loss 0.3138 val_acc 0.8898 (00:00:08)
22:24:38 | sup[vit_small] | INFO | epoch 016/100 | train_loss 0.3781 train_acc 0.8640 | val_loss 0.3414 val_acc 0.8766 (00:00:08)
22:24:46 | sup[vit_small] | INFO | epoch 017/100 | train_loss 0.3700 train_acc 0.8672 | val_loss 0.3172 val_acc 0.8873 (00:00:08)
22:24:55 | sup[vit_small] | INFO | epoch 018/100 | train_loss 0.3501 train_acc 0.8745 | val_loss 0.2792 val_acc 0.8984 (00:00:08)
22:25:04 | sup[vit_small] | INFO | epoch 019/100 | train_loss 0.3290 train_acc 0.8823 | val_loss 0.2396 val_acc 0.9168 (00:00:08)
22:25:13 | sup[vit_small] | INFO | epoch 020/100 | train_loss 0.3025 train_acc 0.8919 | val_loss 0.2413 val_acc 0.9129 (00:00:08)
22:25:22 | sup[vit_small] | INFO | epoch 021/100 | train_loss 0.2963 train_acc 0.8941 | val_loss 0.2440 val_acc 0.9116 (00:00:08)
22:25:30 | sup[vit_small] | INFO | epoch 022/100 | train_loss 0.3081 train_acc 0.8893 | val_loss 0.2387 val_acc 0.9140 (00:00:08)
22:25:39 | sup[vit_small] | INFO | epoch 023/100 | train_loss 0.2983 train_acc 0.8930 | val_loss 0.2362 val_acc 0.9136 (00:00:08)
22:25:48 | sup[vit_small] | INFO | epoch 024/100 | train_loss 0.3043 train_acc 0.8907 | val_loss 0.2746 val_acc 0.8988 (00:00:08)
22:25:57 | sup[vit_small] | INFO | epoch 025/100 | train_loss 0.3113 train_acc 0.8895 | val_loss 0.2621 val_acc 0.9060 (00:00:08)
22:26:05 | sup[vit_small] | INFO | epoch 026/100 | train_loss 0.3250 train_acc 0.8840 | val_loss 0.2460 val_acc 0.9138 (00:00:08)
22:26:14 | sup[vit_small] | INFO | epoch 027/100 | train_loss 0.3164 train_acc 0.8857 | val_loss 0.2518 val_acc 0.9093 (00:00:08)
22:26:23 | sup[vit_small] | INFO | epoch 028/100 | train_loss 0.3066 train_acc 0.8899 | val_loss 0.2488 val_acc 0.9109 (00:00:08)
22:26:32 | sup[vit_small] | INFO | epoch 029/100 | train_loss 0.2981 train_acc 0.8935 | val_loss 0.2361 val_acc 0.9149 (00:00:08)
22:26:41 | sup[vit_small] | INFO | epoch 030/100 | train_loss 0.3007 train_acc 0.8927 | val_loss 0.2352 val_acc 0.9182 (00:00:08)
22:26:49 | sup[vit_small] | INFO | epoch 031/100 | train_loss 0.2750 train_acc 0.9024 | val_loss 0.2277 val_acc 0.9176 (00:00:08)
22:26:58 | sup[vit_small] | INFO | epoch 032/100 | train_loss 0.2759 train_acc 0.9007 | val_loss 0.2263 val_acc 0.9185 (00:00:08)
22:27:07 | sup[vit_small] | INFO | epoch 033/100 | train_loss 0.2694 train_acc 0.9037 | val_loss 0.2147 val_acc 0.9231 (00:00:08)
22:27:16 | sup[vit_small] | INFO | epoch 034/100 | train_loss 0.2794 train_acc 0.8997 | val_loss 0.2106 val_acc 0.9259 (00:00:08)
