22:44:10 | vae[b8] | INFO | BetaVAE params: 4.54M
22:44:22 | vae[b8] | INFO | epoch 001/50 | loss 0.1411 | recon 0.0429 | kl 0.0123 | lr 5.00e-04 | 00:00:11
22:44:28 | vae[b8] | INFO | epoch 002/50 | loss 13.3523 | recon 0.0295 | kl 1.6653 | lr 1.00e-03 | 00:00:05
22:44:33 | vae[b8] | INFO | epoch 003/50 | loss 0.1346 | recon 0.0316 | kl 0.0129 | lr 9.99e-04 | 00:00:05
22:44:38 | vae[b8] | INFO | epoch 004/50 | loss 0.0406 | recon 0.0313 | kl 0.0012 | lr 9.96e-04 | 00:00:05
22:44:44 | vae[b8] | INFO | epoch 005/50 | loss 0.0334 | recon 0.0313 | kl 0.0003 | lr 9.91e-04 | 00:00:05
22:44:50 | vae[b8] | INFO | epoch 006/50 | loss 0.0333 | recon 0.0312 | kl 0.0003 | lr 9.83e-04 | 00:00:05
22:44:55 | vae[b8] | INFO | epoch 007/50 | loss 0.0330 | recon 0.0312 | kl 0.0002 | lr 9.74e-04 | 00:00:05
22:45:00 | vae[b8] | INFO | epoch 008/50 | loss 0.0322 | recon 0.0307 | kl 0.0002 | lr 9.62e-04 | 00:00:05
22:45:06 | vae[b8] | INFO | epoch 009/50 | loss 0.0312 | recon 0.0298 | kl 0.0002 | lr 9.49e-04 | 00:00:05
22:45:11 | vae[b8] | INFO | epoch 010/50 | loss 0.0309 | recon 0.0297 | kl 0.0001 | lr 9.34e-04 | 00:00:05
22:45:16 | vae[b8] | INFO | epoch 011/50 | loss 0.0309 | recon 0.0297 | kl 0.0002 | lr 9.17e-04 | 00:00:05
22:45:21 | vae[b8] | INFO | epoch 012/50 | loss 0.0305 | recon 0.0297 | kl 0.0001 | lr 8.98e-04 | 00:00:05
22:45:27 | vae[b8] | INFO | epoch 013/50 | loss 0.0305 | recon 0.0296 | kl 0.0001 | lr 8.77e-04 | 00:00:05
22:45:33 | vae[b8] | INFO | epoch 014/50 | loss 0.0308 | recon 0.0296 | kl 0.0001 | lr 8.55e-04 | 00:00:05
22:45:37 | vae[b8] | INFO | epoch 015/50 | loss 0.0315 | recon 0.0296 | kl 0.0002 | lr 8.31e-04 | 00:00:04
22:45:42 | vae[b8] | INFO | epoch 016/50 | loss 0.0299 | recon 0.0296 | kl 0.0000 | lr 8.06e-04 | 00:00:04
22:45:47 | vae[b8] | INFO | epoch 017/50 | loss 0.0300 | recon 0.0296 | kl 0.0000 | lr 7.80e-04 | 00:00:04
22:45:52 | vae[b8] | INFO | epoch 018/50 | loss 0.0300 | recon 0.0296 | kl 0.0000 | lr 7.53e-04 | 00:00:04
22:45:57 | vae[b8] | INFO | epoch 019/50 | loss 0.0300 | recon 0.0296 | kl 0.0000 | lr 7.24e-04 | 00:00:05
22:46:03 | vae[b8] | INFO | epoch 020/50 | loss 0.0308 | recon 0.0296 | kl 0.0001 | lr 6.95e-04 | 00:00:05
22:46:09 | vae[b8] | INFO | epoch 021/50 | loss 0.0298 | recon 0.0296 | kl 0.0000 | lr 6.64e-04 | 00:00:05
22:46:14 | vae[b8] | INFO | epoch 022/50 | loss 0.0299 | recon 0.0296 | kl 0.0000 | lr 6.33e-04 | 00:00:05
22:46:20 | vae[b8] | INFO | epoch 023/50 | loss 0.0298 | recon 0.0296 | kl 0.0000 | lr 6.02e-04 | 00:00:05
22:46:26 | vae[b8] | INFO | epoch 024/50 | loss 0.0298 | recon 0.0296 | kl 0.0000 | lr 5.70e-04 | 00:00:05
22:46:31 | vae[b8] | INFO | epoch 025/50 | loss 0.0298 | recon 0.0296 | kl 0.0000 | lr 5.37e-04 | 00:00:05
22:46:37 | vae[b8] | INFO | epoch 026/50 | loss 0.0298 | recon 0.0296 | kl 0.0000 | lr 5.05e-04 | 00:00:05
22:46:43 | vae[b8] | INFO | epoch 027/50 | loss 0.0297 | recon 0.0296 | kl 0.0000 | lr 4.73e-04 | 00:00:05
22:46:49 | vae[b8] | INFO | epoch 028/50 | loss 0.0297 | recon 0.0296 | kl 0.0000 | lr 4.40e-04 | 00:00:05
22:46:55 | vae[b8] | INFO | epoch 029/50 | loss 0.0297 | recon 0.0296 | kl 0.0000 | lr 4.09e-04 | 00:00:05
22:47:01 | vae[b8] | INFO | epoch 030/50 | loss 0.0297 | recon 0.0296 | kl 0.0000 | lr 3.77e-04 | 00:00:05
22:47:06 | vae[b8] | INFO | epoch 031/50 | loss 0.0297 | recon 0.0296 | kl 0.0000 | lr 3.46e-04 | 00:00:05
22:47:12 | vae[b8] | INFO | epoch 032/50 | loss 0.0297 | recon 0.0296 | kl 0.0000 | lr 3.16e-04 | 00:00:05
22:47:18 | vae[b8] | INFO | epoch 033/50 | loss 0.0296 | recon 0.0296 | kl 0.0000 | lr 2.86e-04 | 00:00:05
22:47:24 | vae[b8] | INFO | epoch 034/50 | loss 0.0296 | recon 0.0296 | kl 0.0000 | lr 2.58e-04 | 00:00:05
22:47:30 | vae[b8] | INFO | epoch 035/50 | loss 0.0296 | recon 0.0296 | kl 0.0000 | lr 2.30e-04 | 00:00:05
