group_id,id,name,backbone,data_fraction,seed,batch_size,lam_mae,lam_byol,mask_ratio,invert_prob,tight_scale,knn_top1,linear_acc,finetune_10pct_acc,finetune_1pct_acc,linear_f1_macro,finetune_10pct_f1_macro,finetune_1pct_f1_macro,linear_balanced_acc,linear_f1_weighted,finetune_1pct_balanced_acc,finetune_10pct_balanced_acc,finetune_1pct_f1_weighted,finetune_10pct_f1_weighted
1,1,byol-resnet50,resnet50,1.0,42,512,,,,,,0.9175,0.9235,0.9308,0.8889,0.8936,0.9029,0.8424,0.8994,0.9251,0.8507,0.9092,0.8873,0.9315
1,7,simclr-resnet50,resnet50,1.0,42,512,,,,,,0.9131,0.9175,0.9251,0.889,0.8857,0.8987,0.8354,0.8923,0.918,0.8482,0.9041,0.8858,0.9255
1,11,vssl-resnet50,resnet50,1.0,42,512,,,,,,0.8844,0.9029,0.9357,0.873,0.8623,0.9118,0.8327,0.8729,0.9041,0.8414,0.9169,0.8709,0.9346
1,15,supervised-resnet50,resnet50,1.0,42,512,,,,,,0.9535,0.9446,0.9454,0.945,0.9245,0.9238,0.9181,0.9275,0.9433,0.9173,0.9245,0.941,0.9431
1,19,sal-resnet50,resnet50,1.0,42,512,0.9,1.0,0.75,0.25,"[0.05, 0.30]",0.9319,0.9364,0.9483,0.9358,0.9139,0.9267,0.9092,0.9139,0.9343,0.907,0.926,0.9319,0.9462
3,3,byol-vit_small,vit_small,1.0,42,512,,,,,,0.9309,0.9295,0.945,0.9178,0.9003,0.9236,0.8769,0.9062,0.9298,0.8779,0.9245,0.912,0.9444
3,9,simclr-vit_small,vit_small,1.0,42,512,,,,,,0.9333,0.937,0.944,0.9249,0.9101,0.9238,0.886,0.9125,0.9363,0.8918,0.9238,0.9214,0.943
3,13,vssl-vit_small,vit_small,1.0,42,512,,,,,,0.8974,0.9011,0.9067,0.8916,0.8637,0.8796,0.8445,0.872,0.9009,0.8514,0.8824,0.885,0.9058
3,17,supervised-vit_small,vit_small,1.0,42,512,,,,,,0.8684,0.8511,0.8664,0.8674,0.8087,0.8239,0.813,0.8182,0.8493,0.8224,0.8307,0.8583,0.8628
3,37,sal-vit_small,vit_small,1.0,42,512,0.9,1.0,0.75,0.25,"[0.05, 0.30]",0.9327,0.9217,0.9416,0.9298,0.9029,0.9259,0.8994,0.9076,0.9226,0.9004,0.9235,0.9267,0.9406
5,4,BYOL-10pct,vit_small,0.1,42,256,,,,,,0.8592,0.8281,0.8819,0.8451,0.7674,0.842,0.7853,0.7866,0.8298,0.7978,0.8516,0.8422,0.8814
5,10,SimCLR-10pct,vit_small,0.1,42,256,,,,,,0.8806,0.8747,0.8999,0.872,0.8348,0.8726,0.8255,0.8449,0.8743,0.8304,0.8796,0.8661,0.8979
5,14,VSSL-10pct,vit_small,0.1,42,256,,,,,,0.8026,0.8252,0.851,0.8072,0.7636,0.7911,0.7323,0.7771,0.8273,0.747,0.8045,0.8092,0.8515
5,18,Supervised-10pct,vit_small,0.1,42,256,,,,,,0.8447,0.8391,0.8404,0.8306,0.7791,0.7803,0.768,0.7896,0.8372,0.7807,0.7938,0.8256,0.8384
5,32,sal-vit_small-frac10,vit_small,0.1,42,256,0.9,1.0,0.75,0.25,"[0.05, 0.30]",0.8525,0.8394,0.8947,0.8579,0.7758,0.8591,0.7992,0.7906,0.8408,0.8115,0.8643,0.8551,0.8924
6,5,byol-resnet50-seed1-frac10,resnet50,0.1,1,256,,,,,,0.6819,0.6922,0.9403,0.8309,0.6272,0.9178,0.7763,0.6316,0.6946,0.7832,0.9185,0.83,0.9387
6,6,byol-resnet50-seed2-frac10,resnet50,0.1,2,256,,,,,,0.8164,0.8447,0.8981,0.8259,0.7925,0.8653,0.7701,0.7972,0.8415,0.7728,0.8666,0.8273,0.8984
6,21,sal-resnet50-frac10-baseline-seed1,resnet50,0.1,1,256,0.9,1.0,0.75,0.25,"[0.05, 0.30]",0.8291,0.8504,0.928,0.8857,0.8041,0.9019,0.8377,0.8157,0.849,0.8486,0.905,0.8849,0.9269
6,22,sal-resnet50-frac10-baseline-seed2,resnet50,0.1,2,256,0.9,1.0,0.75,0.25,"[0.05, 0.30]",0.8354,0.8709,0.9337,0.8616,0.8171,0.9051,0.8236,0.8211,0.8654,0.8311,0.9075,0.864,0.9318
6,38,byol-resnet50-seed42-frac10,resnet50,0.1,42,256,,,,,,0.8036,0.823,0.8623,0.8819,0.7792,0.8422,0.8466,0.7902,0.8219,0.8579,0.8548,0.8761,0.8561
6,20,sal-resnet50-frac10-baseline,resnet50,0.1,42,256,0.9,1.0,0.75,0.25,"[0.05, 0.30]",0.8252,0.8416,0.9095,0.8776,0.7902,0.8857,0.8298,0.8016,0.8397,0.842,0.8879,0.8732,0.9073
7,20,sal-resnet50-frac10-baseline,resnet50,0.1,42,256,0.9,1.0,0.75,0.25,"[0.05, 0.30]",0.8252,0.8416,0.9095,0.8776,0.7902,0.8857,0.8298,0.8016,0.8397,0.842,0.8879,0.8732,0.9073
